url_length,hostname_length,path_length,num_dots,num_hyphens,num_digits,has_ip,https_present,num_subdomains,tld_length,contains_login,contains_secure,contains_account,contains_update,contains_verify,label
28,17,3,2,1,0,0,1,1,3,0,0,0,0,0,1
28,19,1,2,0,0,0,1,1,3,0,0,0,0,0,1
42,13,21,2,2,0,0,1,1,3,0,0,0,0,0,1
28,7,13,1,0,3,0,1,0,3,0,0,0,0,0,1
85,13,65,1,4,29,0,0,0,2,0,0,0,0,0,1
91,19,65,1,6,29,0,0,0,2,0,0,0,0,0,1
27,19,1,2,1,0,0,0,1,5,0,0,0,0,0,1
61,33,20,3,0,0,0,1,1,3,0,0,0,0,0,1
53,33,12,2,3,0,0,1,1,2,0,0,0,0,0,1
80,21,52,2,0,9,0,0,1,3,0,0,0,0,0,1
16,8,1,1,0,2,0,0,0,4,0,0,0,0,0,1
53,45,1,4,2,0,0,0,3,3,0,0,0,0,0,1
36,20,9,2,0,0,0,0,1,2,0,0,0,0,0,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
33,24,1,1,1,0,0,1,0,2,0,0,0,0,0,1
34,20,7,2,1,3,0,0,1,3,0,0,0,0,0,1
37,29,1,2,1,1,0,0,1,3,0,0,0,0,0,1
49,34,8,2,0,5,0,0,1,3,0,0,0,0,0,1
47,38,1,2,3,0,0,1,1,3,0,0,0,0,0,1
98,26,65,2,5,29,0,0,1,2,0,0,0,0,0,1
29,18,3,2,1,0,0,1,1,4,0,0,0,0,0,1
31,22,1,3,0,7,0,1,2,2,0,0,0,0,0,1
42,20,14,1,0,0,0,1,0,3,0,0,0,0,0,1
97,37,53,2,4,33,0,0,1,3,0,0,0,0,0,1
42,33,1,2,1,0,0,1,1,7,0,0,0,0,0,1
28,19,1,2,0,0,0,1,1,3,0,0,0,0,0,1
49,26,15,2,1,0,0,1,1,2,0,0,0,0,0,1
34,19,8,2,0,4,0,0,1,2,0,0,0,0,0,1
23,15,1,2,0,0,0,0,1,3,0,0,0,0,0,1
20,12,1,2,0,2,0,0,1,3,0,0,0,0,0,1
41,22,11,3,0,2,0,1,1,2,0,0,0,0,0,1
29,20,1,2,0,4,0,1,1,4,0,0,0,0,0,1
12,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1
83,23,53,2,1,0,0,0,0,3,1,0,0,0,0,1
41,33,1,2,2,6,0,0,1,3,0,0,1,0,0,1
32,23,1,2,1,4,0,1,1,3,0,0,0,0,0,1
21,13,1,1,0,4,0,0,0,2,0,0,0,0,0,1
40,25,8,2,0,6,0,0,1,3,0,0,0,0,0,1
37,29,1,2,0,4,0,0,1,3,0,0,0,0,0,1
26,18,1,2,0,0,0,0,1,3,0,0,0,0,0,1
21,13,1,1,0,0,0,0,0,3,0,0,0,0,0,1
21,13,1,1,0,5,0,0,0,2,0,0,0,0,0,1
25,16,1,2,1,0,0,1,1,3,0,0,0,0,0,1
43,11,18,1,0,11,0,1,0,2,0,0,0,0,0,1
44,36,1,2,2,0,0,0,1,3,0,0,0,0,0,1
79,70,1,3,6,29,0,1,2,3,0,0,0,0,0,1
21,12,1,2,0,2,0,1,1,3,0,0,0,0,0,1
21,13,1,1,0,5,0,0,0,2,0,0,0,0,0,1
20,7,5,1,0,0,0,1,0,2,0,0,0,0,0,1
38,20,10,2,0,7,0,1,1,2,0,0,0,0,0,1
21,6,7,1,0,1,0,1,0,2,0,0,0,0,0,1
33,25,1,3,0,2,0,0,2,3,0,0,0,0,0,1
55,14,34,2,0,7,0,0,0,3,0,0,1,0,0,1
51,23,21,2,2,4,0,0,1,2,0,0,0,0,0,1
39,13,18,1,0,10,0,1,0,3,0,0,0,0,0,1
71,19,18,2,0,3,0,1,1,3,0,0,0,0,0,1
52,29,15,2,2,2,0,1,1,2,0,0,0,0,0,1
35,26,1,2,1,9,0,1,1,3,0,0,0,0,0,1
43,34,1,3,2,0,0,1,2,3,0,0,0,0,0,1
26,17,1,2,0,0,0,1,1,3,0,0,0,0,0,1
29,17,4,2,1,0,0,1,1,3,0,0,0,0,0,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
35,22,5,2,0,0,0,1,1,3,0,0,0,0,0,1
37,28,1,2,1,0,0,1,1,3,0,0,0,0,0,1
21,13,1,1,0,5,0,0,0,2,0,0,0,0,0,1
24,16,1,3,0,0,0,0,2,2,0,0,0,0,0,1
